name,annot
Acanthosomatidae,General
Achilidae,General
Acrididae,Include pests
Acroceridae,General
Adelgidae,Include pests
Adelidae,General
Aderidae,Include pests
Aeolothripidae,Include pests
Aeshnidae,Predators
Agaonidae,Pollinators
Agathiphagidae,General
Agromyzidae,Include pests
Aleyrodidae,Include pests
Alucitidae,General
Alydidae,Include pests
Ameletopsidae,Predators nymphs
Amorphoscelidae,Predators
Amphientomidae,General
Amphipsocidae,General
Ampulicidae,Parasitoids
Anisolabididae,Pest / Predator
Anisopodidae,General
Anobiidae,Include pests
Anomosetidae,General
Anostostomatidae,General
Anthelidae,Include pests
Anthicidae,General
Anthocoridae,Predators
Anthomyiidae,General
Anthomyzidae,General
Anthribidae,Include pests
Antipodoeciidae,General
Aphalaridae,Include pests
Aphelinidae,Parasitoids
Aphididae,Include pests
Aphrophoridae,General
Apidae,Pollinators
Apioceridae,Pollinators
Aradidae,General
Archipsocidae,General
Argidae,General
Argyresthiidae,General
Artheneidae,General
Ascalaphidae,Predators
Asilidae,Predators
Asteiidae,General
Athericidae,Predators
Atriplectididae,General
Attelabidae,Contain pests
Aulacidae,Parasitoids
Australembiidae,General
Austroleptidae,General
Austroperlidae,Water quality indicator
Austropetaliidae,Predators
Baetidae,Water quality indicator
Batrachedridae,General
Belidae,General
Belostomatidae,General
Berothidae,Predators
Berytidae,General
Bethylidae,Parasitoids
Bibionidae,General
Biphyllidae,General
Bittacidae,Predators
Blaberidae,General
Blastobasidae,Include pests
Blattidae,Include pests
Blephariceridae,General
Blissidae,Include pests
Bolboceratidae,General
Bombycidae,General
Bombyliidae,Pollinators
Boridae,Include pests
Bostrichidae,Include pests
Bothrideridae,Includes insect ectoparasitoids
Brachodidae,General
Braconidae,Parasitoids
Brentidae,Include pests
Bucculatricidae,Include pests
Buprestidae,Include pests
Byrrhidae,General
Caeciliusidae,General
Caenidae,Water quality indicator
Calamoceratidae,Water quality indicator
Caliscelidae,General
Calliphoridae,Pollinators
Callirhipidae,General
Calocidae,Water quality indicator
Calophyidae,Include pests
Calopsocidae,General
Calopterygidae,Predators
Canacidae,General
Cantharidae,General
Carabidae,Predators
Carposinidae,Include pests
Carsidaridae,Include pests
Carthaeidae,General
Castniidae,General
Cecidomyiidae,Include pests
Cerambycidae,Include pests
Ceraphronidae,Parasitoids
Ceratocombidae,General
Ceratophyllidae,Parasites
Ceratopogonidae,Includes vectors of pathogens
Cercopidae,General
Cerylonidae,Include pests
Chalcididae,Parasitoids
Chamaemyiidae,Predators
Chaoboridae,General
Chathamiidae,General
Chelisochidae,Predators
Chironomidae,General
Chlorocyphidae,Predators
Chloropidae,Disease transmitters in animals
Choreutidae,Include pests
Choristidae,Predators
Chrysididae,Parasitoids
Chrysomelidae,Include pests
Chrysopidae,Predators
Chyromyidae,General
Cicadellidae,Include pests
Cicadidae,General
Ciidae,General
Cimicidae,Parasites
Cixiidae,General
Clambidae,General
Clastopteridae,General
Cleridae,General
Clusiidae,General
Coccidae,Includes pests
Coccinellidae,Predators
Coelopidae,General
Coenagrionidae,Predators
Coleophoridae,General
Colletidae,Pollinators
Colobathristidae,General
Coloburiscidae,Water quality indicator
Coniopterygidae,Predators
Conoesucidae,Water quality indicator
Conopidae,Parasitoids
Copromorphidae,Include pests
Corduliidae,Predators
Coreidae,General
Corixidae,Predators
Corydalidae,Predators
Corydiidae,General
Corylophidae,General
Cosmopterigidae,Include pests
Cossidae,Include pests
Crabronidae,Parasitoids
Crambidae,General
Cryptophagidae,General
Cucujidae,General
Culicidae,Disease transmitters in animals and humans
Cupedidae,General
Curculionidae,Include pests
Curtonotidae,General
Cyclotornidae,Ectoparasites of insects
Cydnidae,Include pests
Cylindrotomidae,General
Cymidae,General
Cynipidae,Include pests
Cypselosomatidae,General
Dactylopiidae,Include pests
Dascillidae,General
Delphacidae,General
Derbidae,General
Dermestidae,Include pests
Derodontidae,General
Diadocidiidae,General
Diapheromeridae,General
Diapriidae,Parasitoids
Diaspididae,Include pests
Dictyopharidae,General
Dinidoridae,Include pests
Dipseudopsidae,General
Dipsocoridae,General
Ditomyiidae,General
Dixidae,General
Dolichopodidae,Predators
Douglasiidae,Include pests
Drepanidae,General
Drosophilidae,Include pests
Dryadaulidae,General
Dryinidae,Parasitoids
Dudgeoneidae,General
Dytiscidae,Predators
Ecnomidae,Predators
Ectobiidae,Include pests
Ectopsocidae,General
Elachistidae,General
Elateridae,Include pests
Elenchidae,Parasitoids
Elipsocidae,Include pests
Elmidae,Water quality indicator
Empididae,Predators
Encyrtidae,Parasitoids
Endomychidae,General
Enicocephalidae,Predators
Epermeniidae,General
Ephydridae,General
Epipsocidae,General
Epipyropidae,Ectoparasites of insects
Erebidae,Include pests
Eriococcidae,Include pests
Eriocottidae,General
Erotylidae,General
Eucharitidae,Parasitoids
Eucinetidae,General
Eucnemidae,Includes pests
Eulophidae,Include pests of plants and parasitoids
Eupelmidae,Parasitoids
Eupterotidae,Includes pests
Eurytomidae,Include pests of plants and parasitoids
Eustheniidae,Predators
Euteliidae,General
Evaniidae,Parasitoids
Fanniidae,General
Fergusoninidae,General
Figitidae,Parasitoids
Flatidae,Includes pests
Forficulidae,Predators
Formicidae,Includes pests
Fulgoridae,Includes pests
Galacticidae,Includes pests
Gasteruptiidae,Parasitoids
Gelastocoridae,General
Gelechiidae,Includes pests
Geometridae,Includes pests
Geotrupidae,General
Gerridae,General
Glossosomatidae,Water quality indicator
Glyphipterigidae,Includes pests
Gomphidae,Predators
Gracillariidae,Includes pests
Gripopterygidae,Water quality indicator
Gryllacrididae,Predators
Gryllidae,General
Gryllotalpidae,General
Gyrinidae,General
Haematopinidae,Includes pests
Halictidae,Pollinators
Halictophagidae,Endoparasites of insects
Halimococcidae,Includes pests
Haliplidae,General
Hebridae,Predators
Heleomyzidae,General
Helicophidae,Water quality indicator
Helicopsychidae,Water quality indicator
Heliodinidae,Includes pests
Heliozelidae,Includes pests
Hemerobiidae,Predators
Hepialidae,Includes pests
Hesperiidae,Pollinators
Heteroceridae,General
Heterogastridae,General
Heteronemiidae,General
Hippoboscidae,Includes pests
Histeridae,Biocontrol agents
Hobartiidae,General
Homotomidae,General
Hoplopleuridae,General
Hyblaeidae,Includes pests
Hybosoridae,General
Hybotidae,General
Hydraenidae,General
Hydrobiosidae,Predators
Hydrometridae,Predators
Hydrophilidae,Predators
Hydropsychidae,Water quality indicator
Hydroptilidae,Predators
Hygrobiidae,Predators
Hymenopodidae,Predators
Hystrichopsyllidae,Includes pests
Ibaliidae,Parasitoids
Ichneumonidae,Parasitoids
Immidae,Pollinators
Incurvariidae,Includes pests
Ironomyiidae,General
Ischnopsyllidae,Includes pests
Isostictidae,Predators
Issidae,General
Ithonidae,Predators
Kalotermitidae,Includes pests
Kateretidae,General
Keroplatidae,General
Kerriidae,Commercially farmed
Kokiriidae,Predators
Labiduridae,General
Lachesillidae,General
Lacturidae,Pollinators
Laemobothriidae,Includes pests
Laemophloeidae,General
Lampyridae,General
Largidae,Includes pests
Lasiocampidae,General
Latridiidae,General
Lauxaniidae,General
Lecithoceridae,General
Leiodidae,General
Lepidopsocidae,General
Lepismatidae,General
Leptoceridae,Water quality indicator
Leptophlebiidae,Water quality indicator
Leptopsyllidae,Includes pests
Lestidae,Predators
Leucospidae,Ectoparasites of insects
Libellulidae,Predators
Limacodidae,General
Limnephilidae,Water quality indicator
Limnichidae,Water quality indicator
Limoniidae,Includes predators
Linognathidae,Parasites of mammals
Liopteridae,Parasitoids
Liposcelididae,General
Liturgusidae,Predators
Liviidae,Includes pests
Lonchaeidae,Includes pests
Lonchopteridae,General
Lophocoronidae,General
Lophopidae,General
Lucanidae,General
Lycaenidae,General
Lycidae,General
Lygaeidae,Includes pests
Lymexylidae,Includes pests
Lyonetiidae,Includes pests
Macromiidae,Predators
Mantidae,Predators
Mantispidae,Predators
Mastotermitidae,Includes pests
