family,in_ref_db,in_afd,type,Common name
Acanthosomatidae,TRUE,TRUE,General,Shield bugs
Achilidae,TRUE,TRUE,General,Planthoppers
Acrididae,TRUE,TRUE,Include pests,Grasshoppers
Acroceridae,TRUE,TRUE,General,Spider flies
Adelgidae,TRUE,TRUE,Include pests,Aphid-like hemipterans
Adelidae,TRUE,TRUE,General,Fairy longhorn moths
Aderidae,TRUE,TRUE,Include pests,Ant-like leaf beetles
Aeolothripidae,TRUE,TRUE,Include pests,Trhips
Aeshnidae,TRUE,TRUE,Predators,Hawkers dragonflies
Agaonidae,TRUE,TRUE,Pollinators,Fig wasps
Agathiphagidae,TRUE,TRUE,General,Kauri moths
Agromyzidae,TRUE,TRUE,Include pests,Leaf-miner flies
Aleyrodidae,TRUE,TRUE,Include pests,Whiteflies
Alucitidae,TRUE,TRUE,General,Many-plumed moths
Alydidae,TRUE,TRUE,Include pests,Broad-headed bugs
Ameletopsidae,TRUE,TRUE,Predators nymphs,Mayflies
Amorphoscelidae,TRUE,TRUE,Predators,Mantises
Amphientomidae,TRUE,TRUE,General,Pscodeas
Amphipsocidae,TRUE,TRUE,General,Barklices
Ampulicidae,TRUE,TRUE,Parasitoids,Cockroach wasp
Anisolabididae,TRUE,TRUE,Pest / Predator,Earwigs
Anisopodidae,TRUE,TRUE,General,Window-gnat
Anobiidae,TRUE,TRUE,Include pests,Wood boring beetles
Anomosetidae,TRUE,TRUE,General,Primitive ghost moths
Anostostomatidae,TRUE,TRUE,General,Crickets
Anthelidae,TRUE,TRUE,Include pests,Lappet moths
Anthicidae,TRUE,TRUE,General,Ant-like flower beetles
Anthocoridae,TRUE,TRUE,Predators,Flower bugs
Anthomyiidae,TRUE,TRUE,General,Flies
Anthomyzidae,TRUE,TRUE,General,Flies
Anthribidae,TRUE,TRUE,Include pests,Weevils
Antipodoeciidae,TRUE,TRUE,General,
Aphalaridae,TRUE,TRUE,Include pests,Psyllids
Aphelinidae,TRUE,TRUE,Parasitoids,Parasitoid wasps
Aphididae,TRUE,TRUE,Include pests,Aphids
Aphrophoridae,TRUE,TRUE,General,Spittlebugs
Apidae,TRUE,TRUE,Pollinators,Bees
Apioceridae,TRUE,TRUE,Pollinators,Flower-loving flies
Aradidae,TRUE,TRUE,General,Flat bugs
Archipsocidae,TRUE,TRUE,General,Psocoptera
Argidae,TRUE,TRUE,General,Sawflies
Argyresthiidae,TRUE,TRUE,General,Moths
Artheneidae,TRUE,TRUE,General,Hemipteran bugs
Ascalaphidae,TRUE,TRUE,Predators,Owflies
Asilidae,TRUE,TRUE,Predators,Robber flies
Asteiidae,TRUE,TRUE,General,Flies
Athericidae,TRUE,TRUE,Predators,Ibis flies
Atriplectididae,TRUE,TRUE,General,Caddisflies
Attelabidae,TRUE,TRUE,Contain pests,Leaf rolling Weevils
Aulacidae,TRUE,TRUE,Parasitoids,Wasps
Australembiidae,TRUE,TRUE,General,Webspinners
Austroleptidae,TRUE,TRUE,General,Snipe flies
Austroperlidae,TRUE,TRUE,Water quality indicator,Stoneflies
Austropetaliidae,TRUE,TRUE,Predators,Dragonflies
Baetidae,TRUE,TRUE,Water quality indicator,Mayflies
Batrachedridae,TRUE,TRUE,General,Moths
Belidae,TRUE,TRUE,General,Weevils
Belostomatidae,TRUE,TRUE,General,Giant water bugs
Berothidae,TRUE,TRUE,Predators,Neuropteran
Berytidae,TRUE,TRUE,General,Stilt bugs
Bethylidae,TRUE,TRUE,Parasitoids,Aculeate wasps
Bibionidae,TRUE,TRUE,General,Flies
Biphyllidae,TRUE,TRUE,General,False skin beetles
Bittacidae,TRUE,TRUE,Predators,Scorpion flies
Blaberidae,TRUE,TRUE,General,Giant cockroaches
Blastobasidae,TRUE,TRUE,Include pests,Moths
Blattidae,TRUE,TRUE,Include pests,Cockroaches
Blephariceridae,TRUE,TRUE,General,Net-winged midges
Blissidae,TRUE,TRUE,Include pests,Bugs
Bolboceratidae,TRUE,TRUE,General,Dor beetles
Bombycidae,TRUE,TRUE,General,Silk moths
Bombyliidae,TRUE,TRUE,Pollinators,Bee flies
Boridae,TRUE,TRUE,Include pests,Confier bark beetles
Bostrichidae,TRUE,TRUE,Include pests,Powderpost beetles
Bothrideridae,TRUE,TRUE,Includes insect ectoparasitoids,Dry bark beetles
Brachodidae,TRUE,TRUE,General,Day-flying moths
Braconidae,TRUE,TRUE,Parasitoids,Parasitoid wasps
Brentidae,TRUE,TRUE,Include pests,Straight-snouted weevils
Bucculatricidae,TRUE,TRUE,Include pests,Moths
Buprestidae,TRUE,TRUE,Include pests,Jewel beetles
Byrrhidae,TRUE,TRUE,General,Pill beetles
Caeciliusidae,TRUE,TRUE,General,Psocoptera
Caenidae,TRUE,TRUE,Water quality indicator,Mayflies
Calamoceratidae,TRUE,TRUE,Water quality indicator,Caddisflies
Caliscelidae,TRUE,TRUE,General,Planthoppers
Calliphoridae,TRUE,TRUE,Pollinators,Blow flies
Callirhipidae,TRUE,TRUE,General,Cedar beetles
Calocidae,TRUE,TRUE,Water quality indicator,Forest stream caddis
Calophyidae,TRUE,TRUE,Include pests,Psyllids
Calopsocidae,TRUE,TRUE,General,Psocoptera
Calopterygidae,TRUE,TRUE,Predators,Broad-winged damselflies
Canacidae,TRUE,TRUE,General,Beach flies
Cantharidae,TRUE,TRUE,General,Soldier beetles
Carabidae,TRUE,TRUE,Predators,Ground beetles
Carposinidae,TRUE,TRUE,Include pests,Fruitworm moths
Carsidaridae,TRUE,TRUE,Include pests,Psyllids
Carthaeidae,TRUE,TRUE,General,Moths
Castniidae,TRUE,TRUE,General,Moths
Cecidomyiidae,TRUE,TRUE,Include pests,Gall midges
Cerambycidae,TRUE,TRUE,Include pests,Longhorn beetles
Ceraphronidae,TRUE,TRUE,Parasitoids,Parasitoid wasps
Ceratocombidae,TRUE,TRUE,General,Litter bugs
Ceratophyllidae,TRUE,TRUE,Parasites,Fleas
Ceratopogonidae,TRUE,TRUE,Includes vectors of pathogens,Biting midges
Cercopidae,TRUE,TRUE,General,Xylem-feeding bugs
