	Run	Project	Time	Bande	sex	mere	Weaned
SF0901	3	Kinetic	D14	1105	1	17MAG101814	TRUE
SF0931	3	Kinetic	D14	1105	2	17MAG101827	TRUE
SF0951	3	Kinetic	D14	1105	1	17MAG101855	TRUE
SF1011	3	Kinetic	D14	1105	2	17MAG101965	TRUE
SF1031	3	Kinetic	D14	1105	1	17MAG102029	TRUE
SF1831	3	Kinetic	D14	1106	1	17MAG082150	TRUE
SF1861	3	Kinetic	D14	1106	2	17MAG082210	TRUE
SF1871	3	Kinetic	D14	1106	1	17MAG085889	TRUE
SF1911	3	Kinetic	D14	1106	1	17MAG103303	TRUE
SF1931	3	Kinetic	D14	1106	2	17MAG103313	TRUE
SF2641	3	Kinetic	D14	1110	1	17MAG094915	TRUE
SF2671	3	Kinetic	D14	1110	1	17MAG095009	TRUE
SF2721	3	Kinetic	D14	1110	2	17MAG103324	TRUE
SF2741	3	Kinetic	D14	1110	2	17MAG103300	TRUE
SF2751	3	Kinetic	D14	1110	2	17MAG103609	TRUE
SF2801	3	Kinetic	D14	1111	2	17MAG103836	TRUE
SF2821	3	Kinetic	D14	1111	2	17MAG103881	TRUE
SF2881	3	Kinetic	D14	1111	1	17MAG103898	TRUE
SF2921	3	Kinetic	D14	1111	2	17MAG104167	TRUE
SF2941	3	Kinetic	D14	1111	1	17MAG104190	TRUE
SF4481	3	Kinetic	D14	1112	1	17MAG104203	TRUE
SF4491	3	Kinetic	D14	1112	1	17MAG104634	TRUE
SF4521	3	Kinetic	D14	1112	2	17MAG105122	TRUE
SF4541	3	Kinetic	D14	1112	2	17MAG104818	TRUE
SF4581	3	Kinetic	D14	1112	1	17MAG105040	TRUE
SF5181	3	Kinetic	D14	1113	1	17MAG105121	TRUE
SF5201	3	Kinetic	D14	1113	1	17MAG104194	TRUE
SF5231	3	Kinetic	D14	1113	1	17MAG095083	TRUE
SF5261	3	Kinetic	D14	1113	2	17MAG103303	TRUE
SF5271	3	Kinetic	D14	1113	2	17MAG103313	TRUE
SF5301	3	Kinetic	D14	1113	2	17MAG105042	TRUE
SF0902	3	Kinetic	D36	1105	1	17MAG101814	FALSE
SF0932	3	Kinetic	D36	1105	2	17MAG101827	FALSE
SF0952	3	Kinetic	D36	1105	1	17MAG101855	FALSE
SF1012	3	Kinetic	D36	1105	2	17MAG101965	FALSE
SF1032	3	Kinetic	D36	1105	1	17MAG102029	FALSE
SF1832	3	Kinetic	D36	1106	1	17MAG082150	FALSE
SF1862	3	Kinetic	D36	1106	2	17MAG082210	FALSE
SF1872	3	Kinetic	D36	1106	1	17MAG085889	FALSE
SF1912	3	Kinetic	D36	1106	1	17MAG103303	FALSE
SF1932	3	Kinetic	D36	1106	2	17MAG103313	FALSE
SF2642	3	Kinetic	D36	1110	1	17MAG094915	FALSE
SF2672	3	Kinetic	D36	1110	1	17MAG095009	FALSE
SF2722	3	Kinetic	D36	1110	2	17MAG103324	FALSE
SF2742	3	Kinetic	D36	1110	2	17MAG103300	FALSE
SF2752	3	Kinetic	D36	1110	2	17MAG103609	FALSE
SF2802	3	Kinetic	D36	1111	2	17MAG103836	FALSE
SF2822	3	Kinetic	D36	1111	2	17MAG103881	FALSE
